,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
NCR,EQ,100,83304.77441565192,129722.7800949244,180967.13210294934,260829.680708048,581064.7892494723,3158.047429797591,4568.066505378003,6316.199943350545,8487.034416658327,18675.94030635879,2842.3765436958215,6104.341015196839,9034.324043487704,13102.416618897065,29807.137892944324,12395.381079874898,2205.5343698496317,1964.0904568952008,749.7417405117379,391.6263305100892,0,0,0,0,0,0,0,0,0,0
NCR,PF,100,83304.77441565192,129722.78009492437,180967.13210294934,260829.6807080479,581064.7892494723,1893.9953517928957,2731.28694637668,3725.4690768763967,5104.230566362805,10978.670371862781,2095.840231656894,4525.850447074656,6615.698280685848,9607.620611198869,21833.336349306795,6520.616471564975,930.7583825929692,715.4815809463812,310.4911804338644,169.8001837281366,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,100,66066.54472754382,106424.90875842918,149013.6154603578,215606.92754282407,465754.1500123145,2898.7895824890606,3735.227674514724,5108.827300158724,6991.999179383953,15022.845888523665,1727.5230524803796,4422.58357296711,7423.9685086837835,10941.22712833156,24225.704900841167,25798.287838784025,4039.3231474988524,2547.211308806876,1485.4779279491427,993.7986800593627,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,100,66066.54472754382,106424.9087584292,149013.61546035777,215606.927542824,465754.1500123145,1078.3606070857213,1389.2625345690892,1873.2509004729843,2652.163991330887,5641.189645851554,773.9839656299255,2040.9799170992274,3388.5909682374063,4978.920261165943,11020.02419745461,8674.776583893505,1049.7069988297146,634.805159948395,383.1646250535106,270.8903004681504,0,0,0,0,0,0,0,0,0,0
NCR,EQ,200,83304.77441565192,129722.7800949244,180967.13210294934,260829.680708048,581064.7892494723,6394.733704051528,8941.28798044443,12576.13667615051,17095.415208159247,36572.15567409227,5637.938137681227,12095.448007281135,17917.36406769787,26002.535884293964,59018.299928945555,25628.381206341317,4524.215784585255,3416.5895253205476,1478.1695593557797,707.3579745124117,0,0,0,0,0,0,0,0,0,0
NCR,PF,200,83304.77441565192,129722.78009492437,180967.13210294934,260829.680708048,581064.7892494723,2191.1309527773687,3125.0364157958993,4315.5587904789545,5939.883591953676,12538.771097689925,2395.5314252767553,5187.199690058722,7578.477630935126,11009.669801838967,24988.4929924102,7253.584190366293,925.001337783754,862.4477726473544,371.96705181823427,205.156038236909,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,200,66066.54472754382,106424.90875842917,149013.6154603578,215606.92754282407,465754.1500123145,5857.707311566937,7586.373828906417,10083.708726612886,14254.725721730132,30696.335552005003,3513.4645185882587,9000.656541355693,15076.189848122229,22270.322852759004,49310.59759811374,51415.04099131384,7800.235748731451,5038.528080648864,3089.4059028265847,2203.0974214386756,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,200,66066.5447275438,106424.90875842916,149013.6154603578,215606.927542824,465754.1500123146,1471.84327197603,1929.807112168797,2592.9645924261076,3510.344453376144,7539.1867832012,1063.3203880592512,2800.833080173497,4651.469561407209,6816.352831531728,15096.988534593555,11873.412079495074,1546.6113191887785,888.3704029675438,519.5366104596634,329.9515640089451,0,0,0,0,0,0,0,0,0,0
NCR,EQ,250,83304.77441565192,129722.78009492437,180967.13210294934,260829.68070804793,581064.7892494723,7318.529379568955,10559.679075386506,14619.256412717412,19614.175364477862,42998.44068843874,6630.095500639142,14239.201836725919,21061.882262573326,30545.366484980128,69461.12357886788,28406.594447182848,5343.050483598588,4533.821412277903,1895.976557358176,861.3469288958134,0,0,0,0,0,0,0,0,0,0
NCR,PF,250,83304.77441565192,129722.78009492434,180967.13210294934,260829.68070804793,581064.7892494723,2310.3599158038883,3303.547686623856,4469.617620255776,6184.665063015949,13190.798782351798,2517.726769823426,5444.437645180502,7952.87653297236,11556.003988679335,26247.6491285596,7563.36982938536,1032.4010456149258,826.5418152602334,424.35959976865666,194.74224226141263,0,0,0,0,0,0,0,0,0,0
