region,hazard,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_increase_pov,pct_increase_sub,pct_pop_pov,pct_pop_sub
VII - Central Visayas,SS,2084.698300013801,1827.8757761742722,7446799.783010003,1173301.23547,884177.4207800002,1.776780111527552,2.0673178631521307,0.27994552838255093,0.24545789190473483
VIII - Eastern Visayas,EQ,2975.3649680612198,3838.8563951551346,4537200.2606000025,1006160.7691099999,750583.3241200001,2.9571466702017024,5.114497314013593,0.6557711357593362,0.8460848485112891
VIII - Eastern Visayas,HU,9688.719446529198,11455.147179382599,4537200.2606,1006160.7691100001,750583.3241199999,9.629394967465645,15.261659580317563,2.1353960350094754,2.524717121008842
VIII - Eastern Visayas,PF,595.0805341963302,699.0350543164002,4537200.260599998,1006160.7691100001,750583.32412,0.5914368284530801,0.9313223886714561,0.13115588909836592,0.1540674896778658
VIII - Eastern Visayas,SS,3700.904807972256,4446.514176434785,4537200.260600001,1006160.7691099998,750583.32412,3.6782439959827635,5.924078025111967,0.8156802863893972,0.9800127658122758
X - Northern Mindanao,EQ,690.6638472112613,817.6093380588798,4706699.9588,869614.1375999998,850858.0810700002,0.7942187429442976,0.9609232799795374,0.1467405726426101,0.17371180343251238
X - Northern Mindanao,HU,529.0288647741611,575.2322848540143,4706699.9588000085,869614.1375999998,850858.0810700002,0.608348969847936,0.6760613757474436,0.11239910540399926,0.12221562663634757
X - Northern Mindanao,PF,312.86830428861697,317.4909325135137,4706699.958800002,869614.1376000002,850858.08107,0.35977830943743033,0.37314205456478916,0.06647296556553488,0.0674551034254709
X - Northern Mindanao,SS,35.616539108240616,37.4073841800561,4706699.958799998,869614.1376000001,850858.0810699996,0.04095671582172839,0.043964304990809173,0.007567199825782238,0.00794768829700233
XI - Davao,EQ,2756.297332138454,2508.3733104499693,4963099.68477,717867.81375,374332.4306,3.839561099334012,6.700924380047475,0.555358043804068,0.505404579752303
XI - Davao,HU,132.35453676659475,109.18198502017991,4963099.684770002,717867.8137499999,374332.4306,0.18437173840571114,0.2916711887483999,0.026667716784481283,0.021998749159768204
XI - Davao,PF,200.14464073489498,163.7672827959994,4963099.684769997,717867.8137499999,374332.4306000001,0.27880431034981057,0.43749157008251843,0.040326540558729515,0.03299697632480433
XI - Davao,SS,7.450015677846681,6.103775906849126,4963099.684770006,717867.8137500001,374332.4306,0.010377977024668743,0.01630576302743972,0.001501081209532853,0.0012298314147466051
XII - SOCCSKSARGEN,EQ,4533.333745442085,2124.2470485871404,4599200.272340001,777172.84192,939475.9992000002,5.83310880272465,2.2610977293683057,0.9856786999918132,0.461873135067101
XII - SOCCSKSARGEN,HU,66.67092485403114,15.620761530779774,4599200.272340003,777172.8419199999,939475.9992000002,0.08578648308054757,0.0166271001537894,0.014496199536035856,0.0033964082026878483
XII - SOCCSKSARGEN,PF,130.135669856629,28.301122950596124,4599200.272340003,777172.8419199996,939475.9992000002,0.16744752626086343,0.030124370366774258,0.028295282255760074,0.006153487840223348
XIII - Caraga,EQ,2585.538397358048,3290.181689348266,2716699.9682100015,605381.8390700002,456930.3460000001,4.270921640678888,7.200619784067188,0.9517202589955583,1.21109497841093
XIII - Caraga,HU,822.9459429099535,1038.7382000214097,2716699.9682099973,605381.83907,456930.34599999996,1.3593832682099944,2.2732965956728335,0.3029211736812377,0.38235293266698955
XIII - Caraga,PF,131.42665872555142,164.47451833746229,2716699.9682100005,605381.8390699999,456930.34599999996,0.217097128198381,0.35995534062747997,0.04837731816669722,0.06054202534769876
XIII - Caraga,SS,139.89665142369094,170.25152569132652,2716699.968209999,605381.8390700002,456930.3460000001,0.23108828576457296,0.3725984215793943,0.051495068671814775,0.06266850505523552
