region,hazard,rp,hhid,affected_cat,helped_cat,index,axfin,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_npv_pre,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,has_ew,help_received,hh_reco_rate,integ,ispoor,macro_multiplier,pc_fee,pc_fee_BE,pcsoc,pcwgt,pcwgt_ae,pov_line,province,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_pov_bool,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh
IVA - CALABARZON,EQ,2000,412164221188,a,helped,839458,0.0,107494.88000000002,15573.959716184301,0.006100088082247786,102120.1360000005,100680.77224405292,1439.3637559475785,9037.456516167698,575210.0520509677,0.0,12285.05379022747,102120.1360000005,100680.77224405292,1439.3637559475785,5750.69253306226,0.06628326768640272,5750.758666593953,320322.49786816706,315807.61361805175,12061.325379528504,4514.884250115304,-500.0,,1.0,35354.7500172456,0.3622451166236518,,0.0,5.63268004315001,24.146944717517652,438.3906632243009,0.0,783.3085159999999,783.3085159999999,22302.6775,Cavite,1195.67041278563,2412.77100283634,35128.090884932484,7877.8063916507635,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,2.8373854095412663e-08
IVA - CALABARZON,EQ,2000,413420817209,a,helped,839544,0.0,82218.50000000003,15573.959716184301,0.0069750162068504306,78107.57500000039,77006.66369177458,1100.9113082258057,2456.051732655055,439954.97892134485,0.0,4135.326784867371,78107.57500000039,77006.66369177458,1100.9113082258057,1609.3782040917872,0.05069739920891583,1609.4287517550038,245001.76465124567,241548.5117082394,2895.2513130321922,3453.252943006264,-500.0,,1.0,35354.7500172456,0.5003589142463927,,0.0,5.63268004315001,18.46902451779311,335.30734435265373,0.0,629.4466680000002,629.4466680000002,22302.6775,Laguna,795.7533171917698,1070.1078519330263,55676.8725436625,1874.6661416507377,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,4.2417559350088046e-08
IVA - CALABARZON,EQ,2000,413421821095,a,helped,839551,0.0,84084.18800000002,15573.959716184301,0.006897200140637607,79879.9786000004,78754.08560253408,1125.8929974663195,2801.77067806945,449938.3613074721,0.0,4596.179699982961,79879.9786000004,78754.08560253408,1125.8929974663195,1819.9479275965653,0.05184781583455706,1819.9996256764075,250561.30237436946,247029.68881207763,3325.574847851474,3531.613562291844,-500.0,,1.0,35354.7500172456,0.4863093423567047,,0.0,5.63268004315001,18.88812043190671,342.9160806914414,0.0,1166.35718,1166.35718,22302.6775,Laguna,832.3206112050639,1161.4671909210601,56940.28251808724,2317.767041650739,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,4.1013657292127296e-08
IVA - CALABARZON,EQ,2000,413422508246,a,helped,839567,0.0,85778.27300000003,15573.959716184301,0.006828752091846163,81489.3593500004,80340.78243913752,1148.5769108628874,3136.2750509696134,459003.488139827,0.0,5035.870769490313,81489.3593500004,80340.78243913752,1148.5769108628874,2024.348846924428,0.0528924189778744,2024.4015896074134,255609.48270445582,252006.71600738345,3748.9293155186438,3602.7666970723712,-500.0,,0.0,35354.7500172456,0.47426056057607097,,0.0,5.63268004315001,19.26866857375104,349.82497762409844,0.0,582.524819,582.524819,22302.6775,Laguna,864.5387633925407,1246.1231460749036,58087.48606258308,2720.1122291507418,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,3.9804672284822994e-08
IVA - CALABARZON,EQ,2000,413425167466,a,helped,839593,0.0,97542.836,15573.959716184301,0.006403719590101318,89953.85085825791,88690.07909554904,1263.7717627088746,4836.235106215117,506681.26053380175,0.0,5455.846765847683,89953.85085825791,88690.07909554904,1263.7717627088746,2156.578310294665,0.05819718726139727,2156.6363577459338,281245.4642500436,277281.3633036234,3934.4960525138777,3964.1009464202166,-500.0,,1.0,35354.7500172456,0.4877209682399993,,0.0,5.63268004315001,21.20119168180753,384.91016529268853,3161.5557861284965,10885.49235,10885.49235,22302.6775,Laguna,-693.5920276134511,3069.761173105331,66053.5239230592,4836.235106215117,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,3.282516611523023e-08
IVA - CALABARZON,EQ,2000,415620260357,a,helped,839748,0.0,95193.12500000003,15573.959716184301,0.006482271302852673,86918.11615335317,85698.35042617396,1219.7657271792075,4077.301429988933,489581.93824518693,0.0,4133.834308388883,86918.11615335317,85698.35042617396,1219.7657271792075,1548.1900724939107,0.0561706919986275,1548.246093449917,271452.1627556216,267626.0965178718,2687.6384211463287,3826.0662377498497,-500.0,,1.0,35354.7500172456,0.5324317028308148,,0.0,5.63268004315001,20.462940977090845,371.507135640172,4098.313192041054,1746.593905,1746.593905,22302.6775,Quezon,-1063.2620132630132,3097.949057016816,27995.17820779993,4077.301429988933,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,3.4048001380628435e-08
IVA - CALABARZON,EQ,2000,415624121124,a,helped,839767,0.0,98251.09400000001,15573.959716184301,0.006380596748799931,87507.1911459522,86273.79404863282,1233.3970973193748,3276.482654944941,492900.0091999182,0.0,3276.482654944941,87507.1911459522,86273.79404863282,1233.3970973193748,1160.7681317064034,0.05679842196070253,1160.8247803923716,274485.74930705555,270616.9252479426,3641.0071701623942,3868.8240591129547,-500.0,,1.0,35354.7500172456,0.5810639132738121,,0.0,5.63268004315001,48.26879722403204,400.6922214450877,0.0,2861.27194,2861.27194,22302.6775,Quezon,0.0,3064.5293381793263,28921.639424607525,4224.570178138689,0.09224403262441956,True,1.1111111111111112,0.0,0.0,3.0,3.247086871521212e-08
IVA - CALABARZON,EQ,2000,415645232352,a,helped,839829,0.0,126294.72000000003,15573.959716184301,0.005627783715447071,119979.9840000006,118288.88910752248,1691.094892478114,16177.791115102606,675808.8614542609,0.0,20521.645971965903,119979.9840000006,118288.88910752248,1691.094892478114,10515.155000789497,0.07787558563849067,10515.232726639144,376343.8796151106,371039.3847200912,23544.852630666246,5304.494895019394,-500.0,,1.0,35354.7500172456,0.3033798258052138,,0.0,5.63268004315001,28.370017455290647,515.0610527917923,0.0,666.8634155,666.8634155,22302.6775,Quezon,1381.1412231743489,3445.3641733404256,37143.01282073668,12342.768391650789,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,2.2280360237732304e-08
IVA - CALABARZON,EQ,2000,415688315369,a,helped,839881,0.0,89212.57800000004,15573.959716184301,0.006696023218801712,84751.94910000042,83557.38661155589,1194.5624884445317,3873.625204613621,477380.61231363786,0.0,5987.665861035626,84751.94910000042,83557.38661155589,1194.5624884445317,2477.451143063538,0.05501007293154876,2477.506003400477,265843.32040948083,262096.30973023374,4704.524837835839,3747.0106792470783,-500.0,,1.0,35354.7500172456,0.4516954737537631,,0.0,5.63268004315001,20.04012832121149,363.83092141104476,0.0,763.0456905,763.0456905,22302.6775,Quezon,926.9257061544158,1422.0083565367013,26237.23247040709,3535.759666650745,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,3.752847058629843e-08
IVA - CALABARZON,EQ,2000,4121152317117,a,helped,840368,0.0,99199.20300000005,15573.959716184301,0.006350031859009306,90297.42584136636,89024.70092048077,1272.724920885597,4922.128851992231,508616.50848448236,0.0,4927.983390473639,90297.42584136636,89024.70092048077,1272.724920885597,1896.3642707692286,0.05860948372058921,1896.4227305169568,283237.94042510784,279245.75590865617,3376.5138839069778,3992.1845164516594,-500.0,,1.0,35354.7500172456,0.5096457894263642,,0.0,5.63268004315001,39.9927365726068,404.5588440537082,0.0,2081.06734,2081.06734,22302.6775,Cavite,-1288.3293269411188,3569.444285573537,32434.86829739937,4922.128851992231,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,3.20064661155055e-08
IVA - CALABARZON,EQ,2000,4121934018210,a,helped,840667,0.0,81337.31300000004,15573.959716184301,0.007012697168495568,75776.42253595214,74710.6329752744,1065.7895606777292,1408.971722874035,426824.3429595603,0.0,2758.8698215660165,75776.42253595214,74710.6329752744,1065.7895606777292,988.6570529811306,0.04908002890573571,988.7059832740439,237185.61264824582,233842.5268705486,1644.6453969683546,3343.0857776972107,-500.0,,1.0,35354.7500172456,0.570814488441185,,0.0,5.63268004315001,17.879817729084074,324.61022478327743,1741.783060535758,3830.24971,3830.24971,22302.6775,Cavite,704.447639799947,795.4391365244769,26579.707467564305,1291.8780256386744,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,4.310873392446321e-08
IVA - CALABARZON,EQ,2000,4121934068001,a,helped,840672,0.0,136900.66,15573.959716184301,0.005405392375622103,130055.62700000062,128222.51784941314,1833.1091505874733,20850.502365656663,732561.7347022651,0.0,25771.731543126312,130055.62700000062,128222.51784941314,1833.1091505874733,13747.476737707606,0.08441539814012726,13747.561003369754,407948.3727131995,402198.41854176,31633.31161530838,5749.954171439515,-500.0,,0.0,35354.7500172456,0.27884064320339763,,0.0,5.63268004315001,30.752466245942863,558.314694925419,0.0,766.0499325,766.0499325,22302.6775,Cavite,1456.8264678464511,4011.2059515642686,44737.56170235494,14861.679141650795,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,1.9742024529400016e-08
IVA - CALABARZON,EQ,2000,4134186215108,a,helped,840718,0.0,132557.25000000003,15573.959716184301,0.005493235939855929,121628.94526429243,119917.27281403521,1711.6724502572222,12755.008707723748,685096.9326595649,0.0,15736.469227571208,121628.94526429243,119917.27281403521,1711.6724502572222,7379.04924828119,0.07882319027628226,7379.127921735473,380923.30207214685,375554.2610947776,15496.781926344243,5369.04097736921,-500.0,,1.0,35354.7500172456,0.36107064703619146,,0.0,5.63268004315001,40.74028752278903,532.244230189666,2049.1565243470914,3559.70263,3559.70263,22302.6775,Laguna,230.8761245624537,4372.214181783749,89776.32181586669,12755.008707723748,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,2.0720239518607727e-08
IVA - CALABARZON,EQ,2000,4134415118001,a,helped,840899,0.0,113787.76000000001,15573.959716184301,0.00592901052950356,108098.37200000053,106574.74615275588,1523.6258472446466,11244.752562093916,608883.5426614089,0.0,14869.220034931874,108098.37200000053,106574.74615275588,1523.6258472446466,7197.570689505633,0.0701635701673991,7197.640703339807,339074.5634584968,334295.37243581837,15477.183281192327,4779.191022678477,-500.0,,1.0,35354.7500172456,0.3397995376422703,,0.0,5.63268004315001,25.560536001809282,464.0545816992174,0.0,640.058149,640.058149,22302.6775,Laguna,1266.4210998297367,2760.764981101327,77055.00113172652,9372.365391650772,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,2.6052936315397894e-08
IVA - CALABARZON,EQ,2000,4134511111354,a,helped,840900,0.0,156340.39000000004,15573.959716184301,0.005058181398949812,142843.78196562224,140830.42622034793,2013.355745274311,18892.35081781072,804593.3199658318,0.0,24305.78468323034,142843.78196562224,140830.42622034793,2013.355745274311,12203.979065923813,0.09271582479448948,12204.071632012616,448061.26231719594,441745.9246503573,26941.87942327816,6315.337666838685,-500.0,,1.0,35354.7500172456,0.3161326406912746,,0.0,5.63268004315001,60.63578992416044,637.5947139142428,0.0,637.4430459999999,637.4430459999999,22302.6775,Laguna,1781.628557005446,4233.297960127467,105896.38459293633,18058.7178830562,0.09224403262441956,True,1.1111111111111112,0.0,0.0,3.0,1.6176822249675243e-08
IVA - CALABARZON,EQ,2000,4156241215132,a,helped,841029,0.0,152487.58000000002,15573.959716184301,0.0051216837632422655,144863.2010000007,142821.3819302538,2041.8190697469206,28384.269158535608,815968.0612595326,0.0,34101.22398697997,144863.2010000007,142821.3819302538,2041.8190697469206,19106.841747025428,0.09402657209340341,19106.93562386153,454395.6188375851,447990.99962892884,45387.72768903955,6404.61920865624,-500.0,,1.0,35354.7500172456,0.25018478484638634,,0.0,5.63268004315001,34.25380971045368,621.8820034002422,0.0,2543.35292,2543.35292,22302.6775,Quezon,1541.6280926918444,4810.543938913001,44846.27812582434,18563.572641650815,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,1.6793773510086085e-08
IVA - CALABARZON,EQ,2000,4158516128275,a,helped,841400,0.0,97232.48400000003,15573.959716184301,0.006413931320520543,92370.85980000047,91068.91022463137,1301.9495753691047,5892.983440718761,520295.4985640702,0.0,8508.818458436237,92370.85980000047,91068.91022463137,1301.9495753691047,3737.158200097371,0.059955290566265765,3737.2180056519446,289741.726757652,285657.87261863454,7457.553077145509,4083.85413901749,-500.0,,1.0,35354.7500172456,0.40704884854913925,,0.0,5.63268004315001,21.841667397506924,396.5380783503943,0.0,2801.73164,2801.73164,22302.6775,Rizal,1057.4538319155245,1849.0295211038929,71638.72987271108,5440.487341650758,0.09224403262441956,True,2.2222222222222223,0.0,0.0,3.0,3.298245121723179e-08
