,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,pov_line,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
296014,I - Ilocos,EQ,2000,128233088001,helped,a,Ilocos Norte,431.69014599999997,0,431.69014599999997,0.0,0,1.0,236886.88000000003,22302.6775,645864.12130849,60031.79776967202,705895.919078162,2526.4154866160393,131.58145215983026,0.03998039041732496,205904.15079957567,19138.385200425426,225042.5360000011,205904.15079957567,19138.385200425426,225042.5360000011,0.10931361948955048,3,15573.959716184301,5.63268004315001,1267592.601387074,37218.626563049686,0,0.0,0.004109220931842912,0.10052838852931044,0.0,0.0,0.0,True,571994.6086601097,33801.45803911131,223625.1065866875,37677.793871286645,182354.2449137549,6310.188460000194,180583.78592671006,243110.58692785562,37677.793871286645,189692.06709541637
296016,I - Ilocos,EQ,2000,128321010123,helped,a,Ilocos Norte,1615.3256599999997,0,1615.3256599999997,5350.333432999511,0,1.0,83440.20300000001,22302.6775,212909.40634190195,19789.509903234146,232698.9162451361,832.8340337881801,43.3758865691408,0.03998039041732496,68090.30697414442,6308.977534020601,74399.28450816502,68090.30697414442,6308.977534020601,74399.28450816502,0.31843740704265006,3,15573.959716184301,5.63268004315001,419067.3650737808,37218.626563049686,0,0.0,0.006923765010000777,0.0001130789210680562,0.0,0.0,0.0,True,149462.78196000739,15231.253862799094,78765.95058724732,16.980998327624548,47719.88106289882,2080.156544695961,41719.390160549774,89313.93089727551,16.980998327624548,63491.320837879095
296020,I - Ilocos,EQ,2000,128321015190,helped,a,Ilocos Norte,807.6628205000002,0,807.6628205000002,0.0,0,1.0,87568.672,22302.6775,238753.04278325324,22191.625000349282,260944.66778360252,933.9261384302936,48.64099280410914,0.03998039041732496,76115.456646677,7074.781753323394,83190.2384000004,76115.456646677,7074.781753323394,83190.2384000004,0.2644399152474313,3,15573.959716184301,5.63268004315001,468583.99562057387,37218.626563049686,0,0.0,0.006758582413010228,0.014322947311663626,0.0,0.0,0.0,True,177968.68286793432,15765.131819265764,82666.26505298511,2214.7194712864693,56737.15152438102,2332.652713868924,50989.156791204936,98051.18020549847,2214.7194712864693,66852.49224091524
296021,I - Ilocos,EQ,2000,128321016204,helped,a,Ilocos Norte,807.6628205000002,0,807.6628205000002,0.0,0,1.0,125926.82000000004,22302.6775,343335.2448581044,31912.33466377661,375247.579521881,1343.0185252484662,69.94745273131879,0.03998039041732496,109456.6948367551,10173.784163245498,119630.47900000059,109456.6948367551,10173.784163245498,119630.47900000059,0.18947586294426447,3,15573.959716184301,5.63268004315001,673840.2116157797,37218.626563049686,0,0.0,0.005635998612006786,0.05360594089928666,0.0,0.0,0.0,True,278155.03093395213,20822.728751225673,118876.98695944078,11324.779621286518,88676.97329130495,3354.436372198079,83950.76221645802,136654.42673495717,11324.779621286518,97984.31075548379
296026,I - Ilocos,EQ,2000,128413011144,helped,a,Ilocos Norte,1745.9471449999999,0,1745.9471449999999,899.3556716907373,0,1.0,159387.56000000003,22302.6775,398544.09718643717,37043.88873021952,435587.9859166567,1690.2880136755896,217.97354718256784,0.03998039041732496,127093.46169133716,11809.744804924121,138903.2064962613,132003.85547889158,11809.744804924121,143813.6002838157,0.19882807162826957,2,15573.959716184301,4.843440476313337,696552.6126589802,37218.626563049686,0,0.0,0.005009596934805456,0.03077390003640046,0.0,0.0,0.0,True,319544.9876924794,16419.65806420098,150593.91520756934,0.0,101884.11792492383,3893.8350651403384,97697.30554301917,161231.819244394,8475.252789467631,133956.2835961858
296037,I - Ilocos,EQ,2000,128538015146,helped,a,Ilocos Norte,916.478984,0,916.478984,1124.1946452314944,0,1.0,90278.242,22302.6775,243075.51543539713,22593.390318405247,265668.9057538024,950.834279769259,49.52160717751323,0.03998039041732496,77538.4245309037,7202.866196948218,84741.29072785193,77538.4245309037,7202.866196948218,84741.29072785193,0.26450361302599396,3,15573.959716184301,5.63268004315001,477320.57711354457,37218.626563049686,0,0.0,0.006656385240646267,0.01636998508838398,0.0,0.0,0.0,True,181177.8698011685,16146.120949356875,85223.51920268794,2602.4825532493523,57775.072808192934,2374.883914129693,52069.309275277614,99991.51043803981,2602.4825532493523,69027.87664615356
296060,I - Ilocos,EQ,2000,128990148001,helped,a,Ilocos Norte,429.2107409999999,0,429.2107409999999,3164.399774608623,0,1.0,183121.63000000003,22302.6775,490647.34346044005,45604.704034605056,536252.0474950451,1919.2567075473187,99.95924501904834,0.03998039041732496,156546.91455243545,14538.968100112514,171085.88265254797,156546.91455243545,14538.968100112514,171085.88265254797,0.14428519605717624,3,15573.959716184301,5.63268004315001,963672.0368817115,37218.626563049686,0,0.0,0.004673692907248953,0.08155882880247588,0.0,0.0,0.0,True,417969.6172184935,27636.424567061942,172868.06956451279,24188.630534423362,133292.15454254634,4793.697470547388,130005.20456604873,190312.032732362,24188.630534423362,145131.6857524318
296076,I - Ilocos,EQ,2000,129233011129,helped,a,Ilocos Sur,2981.673135,0,2981.673135,0.0,0,1.0,106914.60000000002,22302.6775,291499.06564706616,27094.263919662313,318593.3295667285,1140.2518416611306,59.38690367776984,0.03998039041732496,92931.10669985738,8637.763300143108,101568.87000000049,92931.10669985738,8637.763300143108,101568.87000000049,0.21990852923104362,3,15573.959716184301,5.63268004315001,572104.9470543006,37218.626563049686,0,0.0,0.006116619823859979,0.03716843875931186,0.0,0.0,0.0,True,228307.63371836883,75059.821888658,157594.7932305818,6809.377371286493,72785.41707287023,2847.9891968923594,67552.75882271759,117759.5547659439,6809.377371286493,82475.58443824602
296088,I - Ilocos,EQ,2000,129304108106,helped,a,Ilocos Sur,1514.51109,0,1514.51109,0.0,0,1.0,180412.02000000002,22302.6775,478853.49878665013,44508.48940520361,523361.98819185374,1924.1070729610801,150.66389083307723,0.03998039041732496,152660.4741958976,14189.490346334076,166849.9645422317,152660.4741958976,14189.490346334076,166849.9645422317,0.15102626678031222,3,15573.959716184301,5.63268004315001,939812.4654773154,37218.626563049686,0,0.0,0.004708659227789504,0.07889777443680826,0.0,0.0,0.0,True,404878.7904593403,122920.34435278026,265982.27975019685,23129.651006844295,129077.03149293041,4678.469855164744,125674.85390105016,186822.1861226526,23129.651006844295,142911.2715065835
296093,I - Ilocos,EQ,2000,129334011111,helped,a,Ilocos Sur,1619.00805,0,1619.00805,2602.3022275892945,0,1.0,86897.80499999998,22302.6775,226231.9456098239,21027.813683741562,247259.75929356544,899.0175549456502,60.74600316997359,0.03998039041732496,72227.72018547195,6703.753896331488,78931.47408180343,72227.72018547195,6703.753896331488,78931.47408180343,0.2949350567489853,3,15573.959716184301,5.63268004315001,444595.7388369865,37218.626563049686,0,0.0,0.0067846210021624605,0.007426159892998108,0.0,0.0,0.0,True,163017.10963375756,61746.04112813831,128102.014638053,1150.028391737229,52004.83195856345,2210.3197334732276,46134.504244991665,94213.96472587952,1150.028391737229,66295.22750674472
296094,I - Ilocos,EQ,2000,129334013130,helped,a,Ilocos Sur,1214.2559899999999,0,1214.2559899999999,9978.961999092136,0,1.0,122918.3,22302.6775,307925.3114360699,28621.051107225252,336546.36254329514,1204.5061025484274,62.73341140771235,0.03998039041732496,98566.82453281317,9124.509364733158,107691.33389754633,98566.82453281317,9124.509364733158,107691.33389754633,0.2402672471323755,3,15573.959716184301,5.63268004315001,606590.8272649135,37218.626563049686,0,0.0,0.005704554361178324,0.03972786875994154,0.0,0.0,0.0,True,235778.6993092,85705.09866321507,181179.10419250105,8339.993345672952,75298.76716985658,3008.476059684648,70226.59578249622,126876.49479796982,8339.993345672952,95411.27211787827
296122,I - Ilocos,EQ,2000,129717015198,helped,a,Ilocos Sur,1098.61268,0,1098.61268,0.0,0,1.0,108072.36000000002,22302.6775,294655.65939799964,27387.6630905485,322043.3224885481,1152.5994347139185,60.029994346415315,0.03998039041732496,93937.44183175544,8731.300168245067,102668.74200000051,93937.44183175544,8731.300168245067,102668.74200000051,0.21774914803861156,3,15573.959716184301,5.63268004315001,578300.1741187201,37218.626563049686,0,0.0,0.006083768473324427,0.03831190996338317,0.0,0.0,0.0,True,231334.31618476345,75824.95203677626,159301.36041420905,7084.3453712864975,73750.33595042046,2878.829587003664,68548.51809037912,118921.36835170616,7084.3453712864975,83416.37838308638
296132,I - Ilocos,EQ,2000,133111708160,helped,a,La Union,1926.6072199999999,0,1926.6072199999999,0.0,0,1.0,88558.48400000001,22302.6775,215014.4139281884,19985.166211665644,234999.58013985405,944.4825540732302,151.52586980904547,0.03998039041732496,68547.4836717333,6371.353573665827,74918.83724539912,68547.4836717333,6371.353573665827,74918.83724539912,0.33670788032587734,3,15573.959716184301,5.63268004315001,421993.83940816333,37218.626563049686,0,0.0,0.006720706178451588,0.05168255230432307,0.0,0.0,0.0,True,147907.22223115742,13442.172774245504,72692.83353528113,146.86918263615007,47153.43364937317,2100.722781681361,41173.50898400952,90975.036266351,7697.347384890847,59099.134891226575
296136,I - Ilocos,EQ,2000,133140010156,helped,a,La Union,2019.2135999999998,0,2019.2135999999998,0.0,0,1.0,108215.22000000003,22302.6775,295045.1623893436,27423.86662630099,322469.02901564457,1154.1230468127308,60.10934752230904,0.03998039041732496,94061.61699495245,8742.84200504807,102804.45900000053,94061.61699495245,8742.84200504807,102804.45900000053,0.21748589700309331,3,15573.959716184301,5.63268004315001,579064.6245561364,37218.626563049686,0,0.0,0.006079751412704386,0.07257249148426133,0.0,0.0,0.0,True,231707.88010250236,11493.03593549809,88702.92721810316,7118.274621286502,73869.42967108659,2882.6350891209436,68671.41731316253,119064.61345994045,12862.72420029297,77149.78193508276
296148,I - Ilocos,EQ,2000,133145711086,helped,a,La Union,1320.10062,0,1320.10062,0.0,0,1.0,91163.97700000001,22302.6775,215062.32452625883,19989.619407375852,235051.94393363467,972.2703229250538,180.28541604448836,0.03998039041732496,68562.75776838073,6372.773270860334,74935.53103924106,69217.24401295539,6372.773270860334,75590.01728381572,0.3486703071986627,2,15573.959716184301,5.409050091323384,408870.1898921596,37218.626563049686,0,0.0,0.006623970112313238,0.05489618336875952,0.0,0.0,0.0,True,145986.8304430018,14356.863950279192,74855.8422329952,0.0,46541.20481160839,2101.1908753454636,40561.74823990884,91463.02125742935,8382.01614856007,60318.692866671525
296165,I - Ilocos,EQ,2000,133313012158,helped,a,La Union,497.77866300000017,0,497.77866300000017,0.0,0,1.0,114808.55000000003,22302.6775,297448.749799571,27647.275341186985,325096.02514075796,1224.4413819622764,124.05217420316797,0.03998039041732496,94827.89059375951,8814.06562655321,103641.95622031273,94827.89059375951,8814.06562655321,103641.95622031273,0.23507913422219526,3,15573.959716184301,5.63268004315001,583781.9784351826,37218.626563049686,0,0.0,0.005902593560333113,0.0781632616262525,0.0,0.0,0.0,True,229073.4976596883,13224.006683905129,94167.69398018459,7327.648926364553,73029.57766216867,2906.118495364181,67855.04871048784,121705.44821357745,14595.312658432464,80819.63512207629
296167,I - Ilocos,EQ,2000,133313015200,helped,a,La Union,497.77866300000017,0,497.77866300000017,0.0,0,1.0,101157.11000000002,22302.6775,275801.46255569864,25635.20263547085,301436.6651911695,1078.8477997824202,56.18884182227267,0.03998039041732496,87926.64596658653,8172.6085334139525,96099.25450000048,87926.64596658653,8172.6085334139525,96099.25450000048,0.23138113811047012,3,15573.959716184301,5.63268004315001,541296.3529837466,37218.626563049686,0,0.0,0.006288278806853557,0.0658848665984604,0.0,0.0,0.0,True,213276.8559381894,11240.139523714693,82917.46545378417,5441.9734962864895,67993.54300435122,2694.6212815541758,62607.516838860385,111955.75849846142,11008.001333050008,71621.13708824721
296173,I - Ilocos,EQ,2000,133618014127,helped,a,La Union,955.2458049999999,0,955.2458049999999,0.0,0,1.0,169714.44000000006,22302.6775,462720.7199654218,43008.979394186536,505729.69935960835,1810.0166185580592,94.26977326769799,0.03998039041732496,147517.2776416556,13711.440358345257,161228.71800000084,147517.2776416556,13711.440358345257,161228.71800000084,0.14532118380973816,3,15573.959716184301,5.63268004315001,908149.7822612656,37218.626563049686,0,0.0,0.004854791668306476,0.10923692933968986,0.0,0.0,0.0,True,393726.18015290244,13111.971036305215,139113.21918655376,21724.33937128658,125521.53324092447,4520.850208265631,121961.7360021451,179178.49059885112,29023.425811858324,125906.97837698084
296177,I - Ilocos,EQ,2000,133618019172,helped,a,La Union,5492.66345,0,5492.66345,3792.572834596301,0,1.0,102598.45000000001,22302.6775,269390.9052098962,25039.353958516273,294430.2591684125,1053.7717337463264,54.88282339380566,0.03998039041732496,86034.56233679233,7982.649512954938,94017.21184974727,86034.56233679233,7982.649512954938,94017.21184974727,0.24996626703658012,3,15573.959716184301,5.63268004315001,529568.8728986781,37218.626563049686,0,0.0,0.006243952575081878,0.06731573477856406,0.0,0.0,0.0,True,204061.86491759316,12266.474734399671,84096.81072553081,4921.462833723188,65105.75980062985,2631.9891834842315,59657.101537069066,110665.68415504269,11386.755171892422,71775.45316773733
