district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,hh_reco_rate,integ,intermed_sf_num,optimal_hh_reco_rate,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Hambantota,PF,100.0,33207001101,a,helped,79765,29040.66894656925,36346.798828125,0.01173617799761896,22122.73180160502,22122.73180160502,0.0,22122.73,22122.73,0.0,22122.73,0.0,22122.73,67335.0,67335.0,67335.0,0.0,0.055453822045346574,3571979.06592576,0.0,6.487639114963092,2779354.24158044,0.055000000000000014,,0.0,41.276516545339575,43493.30859375,0.0,2.8421709430404007e-13,2420.06,0.0,4.30686467087599e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266518e-07,2601519.0964166955,107381646.0262606
Hambantota,PF,100.0,33211033041,a,helped,79972,31027.43210540065,36346.798828125,0.011354214086190355,22699.33229632273,22699.33229632273,0.0,22699.33,22699.33,0.0,22699.33,0.0,22699.33,69090.0,69090.0,69090.0,0.0,0.055453822045346574,3063752.6091942983,0.0,5.751764310118832,3802385.2159626842,0.065,,0.0,55.03524701060478,43493.30859375,0.0,-4.547473508864641e-13,2585.62,0.0,4.30686467087599e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.829705733884119e-07,2601519.0964166955,143175246.07409817
Hambantota,PF,100.0,33211036071,a,helped,79983,38028.39546684644,36346.798828125,0.010255952360698857,27977.773064490637,27977.773064490637,0.0,27977.77,27977.77,0.0,27977.77,0.0,27977.77,85156.0,85156.0,85156.0,0.0,0.055453822045346574,2812086.9421258764,0.0,5.844632586589134,3124387.662956707,0.065,,0.0,36.69016467373652,43493.30859375,0.0,0.0,3169.03,0.0,4.30686467087599e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.3484597804869395e-07,2601519.0964166955,95450164.0493988
Hambantota,PF,250.0,33207001101,a,helped,80648,29040.66894656925,36346.798828125,0.01173617799761896,21566.172691603995,21566.172691603995,0.0,21566.17,21566.17,0.0,21566.17,0.0,21566.17,65641.0,65641.0,65641.0,0.0,0.055453822045346574,3306519.6884284797,0.0,6.00549613229173,3013876.0522766155,0.065,,0.0,45.91453591926716,43493.30859375,0.0,2.8421709430404007e-13,2420.06,0.0,4.5858923330368125e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266518e-07,2601519.0964166955,119447541.99708381
Hambantota,PF,500.0,33207001101,a,helped,81531,29040.66894656925,36346.798828125,0.01173617799761896,23158.641408354266,23158.641408354266,0.0,23158.64,23158.64,0.0,23158.64,0.0,23158.64,70488.0,70488.0,70488.0,0.0,0.055453822045346574,4163246.330497566,0.0,7.561533603770548,3353921.6664127177,0.045,,0.0,47.581455941617264,43493.30859375,0.0,1.1368683772161603e-13,2420.06,0.0,5.715857188649242e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266518e-07,2601519.0964166955,123784066.26742695
Hambantota,PF,500.0,33211036071,a,helped,81749,38028.39546684644,36346.798828125,0.010255952360698857,30721.14293964326,30721.14293964326,0.0,30721.14,30721.14,0.0,30721.14,0.0,30721.14,93506.0,93506.0,93506.0,0.0,0.055453822045346574,3815241.988514504,0.0,7.9295868551409985,3954793.6510189995,0.045,,0.0,42.29454421126986,43493.30859375,0.0,-3.979039320256561e-13,3169.03,0.0,5.715857188649242e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.3484597804869395e-07,2601519.0964166955,110030064.43985875
Hambantota,PF,1000.0,33207001101,a,helped,82414,29040.66894656925,36346.798828125,0.01173617799761896,23286.77485162487,23286.77485162487,0.0,23286.77,23286.77,0.0,23286.77,0.0,23286.77,70878.0,70878.0,70878.0,0.0,0.055453822045346574,4247324.743519492,0.0,7.714241777860504,3528773.35351009,0.045,,0.0,49.78658192260067,43493.30859375,0.0,2.842170943040401e-14,2420.06,0.0,6.401419776216177e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266518e-07,2601519.0964166955,129520743.61695987
Hambantota,PF,1000.0,33211033041,a,helped,82621,31027.43210540065,36346.798828125,0.011354214086190355,24580.26553407707,24580.26553407707,0.0,24580.27,24580.27,0.0,24580.27,0.0,24580.27,74815.0,74815.0,74815.0,0.0,0.055453822045346574,3934465.5300501864,0.0,7.386405268892345,4966367.721579749,0.045,,0.0,66.38197850136669,43493.30859375,0.0,-4.263256414560601e-13,2585.62,0.0,6.401419776216177e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.829705733884119e-07,2601519.0964166955,172693984.729228
Mannar,PF,10.0,42203025061,a,helped,121389,29396.838527545482,36346.798828125,0.011664864066618718,23015.72333701398,23015.72333701398,0.0,23015.72,23015.72,0.0,23015.72,0.0,23015.72,70053.0,70053.0,70053.0,0.0,0.055453822045346574,3881167.278183811,0.0,7.0923007759780585,2583139.5316565474,0.05500000000000001,,0.0,36.87407436735825,43493.30859375,0.0,-2.8421709430404007e-13,2449.74,0.0,1.0057754048234718e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.9840337687483783e-07,2601519.0964166955,95928608.62937187
Mannar,PF,50.0,42203025061,a,helped,122023,29396.838527545482,36346.798828125,0.011664864066618718,24308.885472175745,24308.885472175745,0.0,24308.89,24308.89,0.0,24308.89,0.0,24308.89,73989.0,73989.0,73989.0,0.0,0.055453822045346574,4755486.748325948,0.0,8.689999667081645,2994717.6821456007,0.035,,0.0,40.47517444681778,43493.30859375,0.0,-5.684341886080801e-13,2449.74,0.0,1.1740441798447663e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.9840337687483783e-07,2601519.0964166955,105296939.25419351
Mannar,PF,50.0,42210012101,a,helped,122147,48017.555782848176,36346.798828125,0.009127040357480081,38184.0946419297,38184.0946419297,0.0,38184.09,38184.09,0.0,38184.09,0.0,38184.09,116221.0,116221.0,116221.0,0.0,0.055453822045346574,3205246.297557741,0.0,7.48576005878775,7408912.226628624,0.045,,0.0,63.748481140487726,43493.30859375,0.0,-3.979039320256561e-13,4001.46,0.0,1.1740441798447663e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,9.5038577127454e-08,2601519.0964166955,165842891.0545384
Mannar,PF,100.0,42210012101,a,helped,122464,48017.555782848176,36346.798828125,0.009127040357480081,36874.176594955636,36874.176594955636,0.0,36874.18,36874.18,0.0,36874.18,0.0,36874.18,112234.0,112234.0,112234.0,0.0,0.055453822045346574,2849455.368734421,0.0,6.65482063104581,7505908.329679925,0.055000000000000014,,0.0,66.87731284352269,43493.30859375,0.0,6.252776074688882e-13,4001.46,0.0,1.0703184140997483e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,9.5038577127454e-08,2601519.0964166955,173982606.4794578
Mannar,PF,250.0,42203025061,a,helped,122657,29396.838527545482,36346.798828125,0.011664864066618718,24372.952193811045,24372.952193811045,0.0,24372.95,24372.95,0.0,24372.95,0.0,24372.95,74184.0,74184.0,74184.0,0.0,0.055453822045346574,4807443.596869946,0.0,8.78494368026997,3377936.6338080713,0.035,,0.0,45.53457125267,43493.30859375,0.0,1.8474111129762605e-13,2449.74,0.0,1.2490707683324763e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.9840337687483783e-07,2601519.0964166955,118459056.6609677
Mannar,PF,1000.0,42203025061,a,helped,123291,29396.838527545482,36346.798828125,0.011664864066618718,20816.756322116194,20816.756322116194,0.0,20816.76,20816.76,0.0,20816.76,0.0,20816.76,63360.0,63360.0,63360.0,0.0,0.055453822045346574,2876368.6972550596,0.0,5.25616920925069,3576638.788737956,0.07500000000000001,,0.0,56.4494758323541,43493.30859375,0.0,9.947598300641403e-14,2449.74,0.0,1.4628530831924293e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.9840337687483783e-07,2601519.0964166955,146854389.36058193
Puttalam,PF,5.0,62211031021,a,helped,151490,26999.018295452628,36346.798828125,0.012171833671468194,19055.742845371515,19055.742845371515,0.0,19055.74,19055.74,0.0,19055.74,0.0,19055.74,58000.0,58000.0,58000.0,0.0,0.055453822045346574,2975152.6640430284,0.0,5.210239808299982,3387267.496055226,0.07500000000000001,,0.0,58.4011637250901,43493.30859375,0.0,3.979039320256561e-13,2249.92,0.0,1.739834629104324e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.2541252311974364e-07,2601519.0964166955,151931742.6837799
Puttalam,PF,25.0,62211031021,a,helped,152932,26999.018295452628,36346.798828125,0.012171833671468194,20232.599239718427,20232.599239718427,0.0,20232.6,20232.6,0.0,20232.6,0.0,20232.6,61582.0,61582.0,61582.0,0.0,0.055453822045346574,3522796.3364091166,0.0,6.1693014715922025,5265218.981405373,0.065,,0.0,85.4993176805783,43493.30859375,0.0,5.684341886080802e-14,2249.92,0.0,2.4358429982910066e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.2541252311974364e-07,2601519.0964166955,222428107.67662206
Puttalam,PF,100.0,62211031021,a,helped,154374,26999.018295452628,36346.798828125,0.012171833671468194,18126.939655304872,18126.939655304872,0.0,18126.94,18126.94,0.0,18126.94,0.0,18126.94,55173.0,55173.0,55173.0,0.0,0.055453822045346574,2622846.67386816,0.0,4.593263504227846,5224265.556543355,0.095,,0.0,94.68880714377241,43493.30859375,0.0,-2.5579538487363607e-13,2249.92,0.0,2.8761666379682698e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.2541252311974364e-07,2601519.0964166955,246334740.00144154
Puttalam,PF,500.0,62211031021,a,helped,155816,26999.018295452628,36346.798828125,0.012171833671468194,19184.861930513434,19184.861930513434,0.0,19184.86,19184.86,0.0,19184.86,0.0,19184.86,58393.0,58393.0,58393.0,0.0,0.055453822045346574,3029219.006740914,0.0,5.304923558286414,6083427.497338482,0.07500000000000001,,0.0,104.1807664846554,43493.30859375,0.0,3.410605131648481e-13,2249.92,0.0,3.519893200250407e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.2541252311974364e-07,2601519.0964166955,271028253.48915946
Puttalam,PF,1000.0,62211031021,a,helped,156537,26999.018295452628,36346.798828125,0.012171833671468194,21101.278275635017,21101.278275635017,0.0,21101.28,21101.28,0.0,21101.28,0.0,21101.28,64226.0,64226.0,64226.0,0.0,0.055453822045346574,4025888.4537660778,0.0,7.050342168688093,7069985.446102633,0.055000000000000014,,0.0,110.07980328998588,43493.30859375,0.0,2.842170943040401e-14,2249.92,0.0,3.528700511753524e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.2541252311974364e-07,2601519.0964166955,286374710.38869166
